date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:19	4922/4922	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2011:48:18%20GMT	http://localhost:1429/robots.txt		(from )
12:48:19	17878/17878	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20May%202019%2011:48:18%20GMT	http://localhost:1429/	C:/My%20Web%20Sites/mixforme/localhost_1429/index.html	(from )
12:48:19	1312/1312	---M--	200	added ('OK')	image/x-icon	etag:%22f5d2349d3f60d31:0%22	http://localhost:1429/assets/images/favicon.ico	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/favicon.ico	(from http://localhost:1429/)
12:48:19	34344/34344	---M-Z	200	added ('OK')	text/css	etag:%22863d279d3f60d31:0%22	http://localhost:1429/assets/css/font-awesome.css	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/font-awesome.css	(from http://localhost:1429/)
12:48:19	154230/154230	---M-Z	200	added ('OK')	text/css	etag:%2279ef269d3f60d31:0%22	http://localhost:1429/assets/css/bootstrap.css	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/bootstrap.css	(from http://localhost:1429/)
12:48:21	5194/5194	---M-Z	200	added ('OK')	text/css	etag:%22bfb2279d3f60d31:0%22	http://localhost:1429/assets/css/slick.css	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/slick.css	(from http://localhost:1429/)
12:48:21	5195/5195	---M-Z	200	added ('OK')	text/css	etag:%22af64279d3f60d31:0%22	http://localhost:1429/assets/css/jquery.fancybox.css	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/jquery.fancybox.css	(from http://localhost:1429/)
12:48:21	74079/74079	---M-Z	200	added ('OK')	text/css	etag:%22587a269d3f60d31:0%22	http://localhost:1429/assets/css/animate.css	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/animate.css	(from http://localhost:1429/)
12:48:21	1845/1845	---M-Z	200	added ('OK')	text/css	etag:%221676289d3f60d31:0%22	http://localhost:1429/assets/css/theme-color/default-theme.css	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/theme-color/default-theme.css	(from http://localhost:1429/)
12:48:21	24697/24697	---M-Z	200	added ('OK')	text/css	etag:%222bd3f9d3f60d31:0%22	http://localhost:1429/style.css	C:/My%20Web%20Sites/mixforme/localhost_1429/style.css	(from http://localhost:1429/)
12:48:22	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%220affd2ef82a4d3fd84947688e79afd20%22	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/mixforme/connect.facebook.net/en_US/sdk.js	(from http://localhost:1429/)
12:48:22	4922/4922	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2011:48:22%20GMT	http://localhost:1429/index.html	C:/My%20Web%20Sites/mixforme/localhost_1429/index.a.delayed	(from http://localhost:1429/)
12:48:28	2200/2200	---M--	200	added ('OK')	image/png	date:Fri,%2003%20May%202019%2013:53:40%20GMT	https://platform.slack-edge.com/img/add_to_slack.png	C:/My%20Web%20Sites/mixforme/platform.slack-edge.com/img/add_to_slack.png	(from http://localhost:1429/)
12:48:29	4112/4112	---M--	200	added ('OK')	image/png	etag:%22512319d3f60d31:0%22	http://localhost:1429/assets/images/add_to_skype.png	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/add_to_skype.png	(from http://localhost:1429/)
12:48:30	3769/3769	---M--	200	added ('OK')	image/png	etag:%226129319d3f60d31:0%22	http://localhost:1429/assets/images/add_to_telegram.png	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/add_to_telegram.png	(from http://localhost:1429/)
12:48:30	2870/2870	---M--	200	added ('OK')	image/png	etag:%223cb4309d3f60d31:0%22	http://localhost:1429/assets/images/add_to_kik.png	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/add_to_kik.png	(from http://localhost:1429/)
12:48:32	71384/71384	---M--	200	added ('OK')	image/png	etag:%222ddc399d3f60d31:0%22	http://localhost:1429/assets/images/nexus-6-single%20-%20copia.png	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/nexus-6-single%20-%20copia.png	(from http://localhost:1429/)
12:48:35	71253/71253	---M-Z	200	added ('OK')	application/javascript	etag:%2258c33c9d3f60d31:0%22	http://localhost:1429/assets/js/bootstrap.js	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/js/bootstrap.js	(from http://localhost:1429/)
12:48:38	81877/81877	---M-Z	200	added ('OK')	application/javascript	etag:%22bbd43d9d3f60d31:0%22	http://localhost:1429/assets/js/slick.js	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/js/slick.js	(from http://localhost:1429/)
12:48:40	23232/23232	---M-Z	200	added ('OK')	application/javascript	etag:%22a3863d9d3f60d31:0%22	http://localhost:1429/assets/js/jquery.fancybox.pack.js	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/js/jquery.fancybox.pack.js	(from http://localhost:1429/)
12:48:41	16060/16060	---M-Z	200	added ('OK')	application/javascript	etag:%22bbfb3d9d3f60d31:0%22	http://localhost:1429/assets/js/wow.js	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/js/wow.js	(from http://localhost:1429/)
12:48:42	1725/1725	---M-Z	200	added ('OK')	application/javascript	etag:%2282113d9d3f60d31:0%22	http://localhost:1429/assets/js/classie.js	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/js/classie.js	(from http://localhost:1429/)
12:48:42	4287/4287	---M-Z	200	added ('OK')	application/javascript	etag:%2275383d9d3f60d31:0%22	http://localhost:1429/assets/js/custom.js	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/js/custom.js	(from http://localhost:1429/)
12:48:42	144615/144615	---M--	200	added ('OK')	image/png	etag:%22b666399d3f60d31:0%22	http://localhost:1429/assets/images/mc.png	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/mc.png	(from http://localhost:1429/)
12:48:46	193347/193347	---M--	200	added ('OK')	image/jpeg	etag:%222248359d3f60d31:0%22	http://localhost:1429/assets/images/header-bg.jpg	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/header-bg.jpg	(from http://localhost:1429/)
12:48:49	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	C:/My%20Web%20Sites/mixforme/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from http://localhost:1429/)
12:48:51	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ecfa2a9d3f60d31:0%22	http://localhost:1429/assets/fonts/fontawesome-webfont.eot?v=4.4.0	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/fontawesome-webfont93e3.eot	(from http://localhost:1429/assets/css/font-awesome.css)
12:48:51	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/mixforme/www.google-analytics.com/analytics.js	(from http://localhost:1429/)
12:48:56	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ecfa2a9d3f60d31:0%22	http://localhost:1429/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/fontawesome-webfontd41d.eot	(from http://localhost:1429/assets/css/font-awesome.css)
12:48:56	356620/356620	---M--	200	added ('OK')	image/svg+xml	etag:%22beaa2b9d3f60d31:0%22	http://localhost:1429/assets/fonts/fontawesome-webfont.svg?v=4.4.0	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/fontawesome-webfont93e3.svg	(from http://localhost:1429/assets/css/font-awesome.css)
12:48:59	64464/64464	---M--	200	added ('OK')	application/font-woff2	etag:%22cecf2c9d3f60d31:0%22	http://localhost:1429/assets/fonts/fontawesome-webfont.woff2?v=4.4.0	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/fontawesome-webfont93e3.woff2	(from http://localhost:1429/assets/css/font-awesome.css)
12:49:01	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224ea2d9d3f60d31:0%22	http://localhost:1429/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/glyphicons-halflings-regular.eot	(from http://localhost:1429/assets/css/bootstrap.css)
12:49:02	18028/18028	---M--	200	added ('OK')	application/font-woff2	etag:%22416a2e9d3f60d31:0%22	http://localhost:1429/assets/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/glyphicons-halflings-regular.woff2	(from http://localhost:1429/assets/css/bootstrap.css)
12:49:04	81284/81284	---M--	200	added ('OK')	font/x-woff	etag:%2294812c9d3f60d31:0%22	http://localhost:1429/assets/fonts/fontawesome-webfont.woff?v=4.4.0	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/fontawesome-webfont93e3.woff	(from http://localhost:1429/assets/css/font-awesome.css)
12:49:04	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224ea2d9d3f60d31:0%22	http://localhost:1429/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://localhost:1429/assets/css/bootstrap.css)
12:49:05	109025/109025	---M--	200	added ('OK')	image/svg+xml	etag:%22b802d9d3f60d31:0%22	http://localhost:1429/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/glyphicons-halflings-regular.svg	(from http://localhost:1429/assets/css/bootstrap.css)
12:49:06	4954/4954	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2011:49:04%20GMT	http://localhost:1429/assets/css/ajax-loader.gif	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/ajax-loader.24.delayed	(from http://localhost:1429/assets/css/slick.css)
12:49:06	4954/4954	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2011:49:06%20GMT	http://localhost:1429/assets/css/fonts/slick.eot	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/fonts/slick.25.delayed	(from http://localhost:1429/assets/css/slick.css)
12:49:06	4954/4954	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2011:49:06%20GMT	http://localhost:1429/assets/css/fonts/slick.eot?	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/fonts/slick.26d41d.delayed	(from http://localhost:1429/assets/css/slick.css)
12:49:07	4956/4956	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2011:49:06%20GMT	http://localhost:1429/assets/css/fonts/slick.woff	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/fonts/slick.27.delayed	(from http://localhost:1429/assets/css/slick.css)
12:49:07	4954/4954	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2011:49:06%20GMT	http://localhost:1429/assets/css/fonts/slick.ttf	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/fonts/slick.28.delayed	(from http://localhost:1429/assets/css/slick.css)
12:49:07	4954/4954	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2011:49:07%20GMT	http://localhost:1429/assets/css/fonts/slick.svg	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/css/fonts/slick.29.delayed	(from http://localhost:1429/assets/css/slick.css)
12:49:08	1362/1362	---M--	200	added ('OK')	image/png	etag:%22b35d349d3f60d31:0%22	http://localhost:1429/assets/images/fancybox_sprite.png	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/fancybox_sprite.png	(from http://localhost:1429/assets/css/jquery.fancybox.css)
12:49:08	23424/23424	---M--	200	added ('OK')	font/x-woff	etag:%22281c2e9d3f60d31:0%22	http://localhost:1429/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/glyphicons-halflings-regular.woff	(from http://localhost:1429/assets/css/bootstrap.css)
12:49:08	4948/4948	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20May%202019%2011:49:07%20GMT	http://localhost:1429/assets/images/blank.gif	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/blank.2c.delayed	(from http://localhost:1429/assets/css/jquery.fancybox.css)
12:49:08	1003/1003	---M--	200	added ('OK')	image/png	etag:%2292f349d3f60d31:0%22	http://localhost:1429/assets/images/fancybox_overlay.png	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/fancybox_overlay.png	(from http://localhost:1429/assets/css/jquery.fancybox.css)
12:49:09	6567/6567	---M--	200	added ('OK')	image/gif	etag:%22799a339d3f60d31:0%22	http://localhost:1429/assets/images/fancybox_loading.gif	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/fancybox_loading.gif	(from http://localhost:1429/assets/css/jquery.fancybox.css)
12:49:10	6553/6553	---M--	200	added ('OK')	image/png	etag:%221ac349d3f60d31:0%22	http://localhost:1429/assets/images/fancybox_sprite@2x.png	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/fancybox_sprite@2x.png	(from http://localhost:1429/assets/css/jquery.fancybox.css)
12:49:11	13984/13984	---M--	200	added ('OK')	image/gif	etag:%228ac1339d3f60d31:0%22	http://localhost:1429/assets/images/fancybox_loading@2x.gif	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/fancybox_loading@2x.gif	(from http://localhost:1429/assets/css/jquery.fancybox.css)
12:49:13	17224/17224	---M--	200	added ('OK')	image/gif	etag:%224f2e389d3f60d31:0%22	http://localhost:1429/assets/images/loader.gif	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/images/loader.gif	(from http://localhost:1429/style.css)
12:49:14	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%221cce2d9d3f60d31:0%22	http://localhost:1429/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/mixforme/localhost_1429/assets/fonts/glyphicons-halflings-regular.ttf	(from http://localhost:1429/assets/css/bootstrap.css)
